ID	Problem Name	Online Judge	Contest	Difficulty Level	Depends On
1	Candy Bags	Codeforces	Codeforces Round #194 (Div. 2)	1	
2	Word	Codeforces	Codeforces Beta Round #55 (Div. 2)	1	
3	Dreamoon and Stairs	Codeforces	Codeforces Round #272 (Div. 2)	2	
4	Cut Ribbon	Codeforces	Codeforces Round #119 (Div. 2)	3	
5	T-primes	Codeforces	Codeforces Round #142 (Div. 2)	3	
6	Ice Skating	Codeforces	Codeforces Round #134 (Div. 1) & Codeforces Round #134 (Div. 2)	3	
7	Little Elephant and Bits	Codeforces	Codeforces Round #157 (Div. 1) & Codeforces Round #157 (Div. 2)	3	
8	Dreamoon and WiFi	Codeforces	Codeforces Round #272 (Div. 2)	3	
9	Party	Codeforces	Codeforces Beta Round #87 (Div. 1 Only) & Codeforces Beta Round #87 (Div. 2 Only)	3	
10	Greg and Array	Codeforces	Codeforces Round #179 (Div. 1) & Codeforces Round #179 (Div. 2)	3	
11	Table Decorations	Codeforces	Codeforces Round #273 (Div. 2)	4	
12	Checkposts	Codeforces	Codeforces Round #244 (Div. 2)	4	
13	Valera and Elections	Codeforces	Codeforces Round #216 (Div. 2)	4	
14	Psychos in a Line	Codeforces	Codeforces Round #189 (Div. 1) & Codeforces Round #189 (Div. 2)	4	
15	Counting Rectangles is Fun	Codeforces	Codeforces Round #219 (Div. 1) & Codeforces Round #219 (Div. 2)	4	
16	Greg and Graph	Codeforces	Codeforces Round #179 (Div. 1) & Codeforces Round #179 (Div. 2)	4	
17	Little Girl and Maximum Sum	Codeforces	Codeforces Round #169 (Div. 2)	4	
18	Renting Bikes	Codeforces	Codeforces Round #211 (Div. 2)	4	
19	Treasure	Codeforces	Codeforces Round #282 (Div. 1) & Codeforces Round #282 (Div. 2)	4	
20	DZY Loves Sequences	Codeforces	Codeforces Round #255 (Div. 1) & Codeforces Round #255 (Div. 2)	4	
21	Color the Fence	Codeforces	Codeforces Round #202 (Div. 2)	4	
22	Colorful Graph	Codeforces	Codeforces Round #151 (Div. 2)	4	
23	Zero Tree	Codeforces	Codeforces Round #168 (Div. 1) & Codeforces Round #168 (Div. 2)	4	
24	King's Path	Codeforces	Codeforces Round #149 (Div. 2)	4	
25	Interesting Array	Codeforces	Codeforces Round #275 (Div. 1) & Codeforces Round #275 (Div. 2)	4	
