ID	Problem Name	Online Judge	Contest	Difficulty Level	Depends On
1	Anton and Letters	Codeforces	Codeforces Round #253 (Div. 2)	1	
2	Way Too Long Words	Codeforces	Codeforces Beta Round #65 (Div. 2)	1	
3	Young Physicist	Codeforces	Codeforces Beta Round #63 (Div. 2)	1	
4	Coder	Codeforces	Codeforces Round #225 (Div. 2)	1	
5	Collecting Beats is Fun	Codeforces	Codeforces Round #219 (Div. 2)	2	
6	Fox and Cross	Codeforces	Codeforces Round #228 (Div. 2)	3	
7	Archer	Codeforces	Codeforces Round #185 (Div. 2)	3	
8	Sereja and Suffixes	Codeforces	Codeforces Round #215 (Div. 2)	3	
9	Ladder	Codeforces	Codeforces Round #171 (Div. 2)	4	
10	Color the Fence	Codeforces	Codeforces Round #202 (Div. 2)	4	
11	Vasya and Robot	Codeforces	Codeforces Round #206 (Div. 1) & Codeforces Round #206 (Div. 2)	4	
12	Fools and Roads	Codeforces	Codeforces Round #121 (Div. 1) & Codeforces Round #121 (Div. 2)	4	
13	Dima and Hares	Codeforces	Codeforces Round #208 (Div. 2)	4	
14	Xenia and Weights	Codeforces	Codeforces Round #197 (Div. 2)	4	
15	Inna and Dima	Codeforces	Codeforces Round #220 (Div. 2)	4	
16	Cows and Sequence	Codeforces	Codeforces Round #174 (Div. 1) & Codeforces Round #174 (Div. 2)	4	
17	Psychos in a Line	Codeforces	Codeforces Round #189 (Div. 1) & Codeforces Round #189 (Div. 2)	4	
18	Greg and Graph	Codeforces	Codeforces Round #179 (Div. 1) & Codeforces Round #179 (Div. 2)	4	
19	Number of Ways	Codeforces	Codeforces Round #266 (Div. 2)	4	
20	Working out	Codeforces	Codeforces Round #245 (Div. 1) & Codeforces Round #245 (Div. 2)	4	
21	Read Time	Codeforces	Codeforces Round #200 (Div. 1) & Codeforces Round #200 (Div. 2)	4	
22	Cow Program	Codeforces	Codeforces Round #174 (Div. 1) & Codeforces Round #174 (Div. 2)	4	
23	LCM Challenge	Codeforces	Codeforces Round #146 (Div. 1) & Codeforces Round #146 (Div. 2)	4	
24	Bubble Sort Graph	Codeforces	Codeforces Round #198 (Div. 2) & Codeforces Round #198 (Div. 1)	4	
25	Beautiful Numbers	Codeforces	Codeforces Round #181 (Div. 2)	4	
